,precision,recall,f1-score,support
0,0.7660194174757281,0.789,0.7773399014778325,1000.0
1,0.8322274881516588,0.878,0.8545012165450122,1000.0
2,0.7153931339977851,0.646,0.6789280084077772,1000.0
3,0.7158931082981715,0.509,0.5949736995908825,1000.0
4,0.7774193548387097,0.723,0.7492227979274612,1000.0
5,0.7694117647058824,0.654,0.707027027027027,1000.0
6,0.710795902285264,0.902,0.7950639048038783,1000.0
7,0.7489139878366637,0.862,0.801487680148768,1000.0
8,0.8651115618661258,0.853,0.8590130916414904,1000.0
9,0.7309417040358744,0.815,0.7706855791962175,1000.0
accuracy,0.7631,0.7631,0.7631,0.7631
macro avg,0.7632127423491865,0.7631,0.7588242906766347,10000.0
weighted avg,0.7632127423491863,0.7631,0.7588242906766347,10000.0
