,precision,recall,f1-score,support
0,0.7465051258154707,0.801,0.7727930535455861,1000.0
1,0.8108856088560885,0.879,0.8435700575815739,1000.0
2,0.6921296296296297,0.598,0.6416309012875536,1000.0
3,0.6835637480798771,0.445,0.5390672319806178,1000.0
4,0.7442116868798236,0.675,0.7079181961195595,1000.0
5,0.713963963963964,0.634,0.6716101694915254,1000.0
6,0.6590909090909091,0.899,0.760575296108291,1000.0
7,0.7294015611448396,0.841,0.7812354853692522,1000.0
8,0.8509763617677287,0.828,0.8393309680689306,1000.0
9,0.7468839884947267,0.779,0.7626040137053353,1000.0
accuracy,0.7379,0.7379,0.7379,0.7379
macro avg,0.7377612583723058,0.7379,0.7320335373258225,10000.0
weighted avg,0.7377612583723058,0.7379,0.7320335373258225,10000.0
