,precision,recall,f1-score,support
0,0.9918781725888325,0.996938775510204,0.9944020356234097,980.0
1,0.9956063268892794,0.9982378854625551,0.9969203695556533,1135.0
2,0.9980601357904947,0.997093023255814,0.9975763451284537,1032.0
3,0.9950592885375494,0.997029702970297,0.9960435212660732,1010.0
4,0.9908722109533469,0.994908350305499,0.9928861788617886,982.0
5,0.9899216125419933,0.9910313901345291,0.9904761904761905,892.0
6,0.9947534102833159,0.9895615866388309,0.9921507064364207,958.0
7,0.9893719806763285,0.9961089494163424,0.9927290353853612,1028.0
8,0.9979296066252588,0.9897330595482546,0.9938144329896907,974.0
9,0.9920079920079921,0.9841427155599604,0.9880597014925373,1009.0
accuracy,0.9936,0.9936,0.9936,0.9936
macro avg,0.9935460736894391,0.9934785438802287,0.9935058517215578,10000.0
weighted avg,0.9936075985234496,0.9936,0.9935973670235116,10000.0
