,precision,recall,f1-score,support
0,0.9949186991869918,0.9989795918367347,0.9969450101832994,980.0
1,0.9947368421052631,0.9991189427312775,0.9969230769230769,1135.0
2,0.9951550387596899,0.9951550387596899,0.9951550387596899,1032.0
3,0.9940711462450593,0.996039603960396,0.9950544015825915,1010.0
4,0.9948979591836735,0.9928716904276986,0.9938837920489296,982.0
5,0.996629213483146,0.9943946188340808,0.9955106621773289,892.0
6,0.9989506820566632,0.9937369519832986,0.9963369963369964,958.0
7,0.9931972789115646,0.9941634241245136,0.9936801166747691,1028.0
8,0.9969135802469136,0.9948665297741273,0.9958890030832477,974.0
9,0.9930555555555556,0.9920713577799801,0.992563212692117,1009.0
accuracy,0.9952,0.9952,0.9952,0.9952
macro avg,0.995252599573452,0.9951397750211797,0.9951941310462047,10000.0
weighted avg,0.9952029991892989,0.9952,0.9951994315381903,10000.0
