,precision,recall,f1-score,support
0,0.9979612640163099,0.9989795918367347,0.998470168281489,980.0
1,0.9956024626209323,0.9973568281938326,0.9964788732394366,1135.0
2,0.9970873786407767,0.9951550387596899,0.9961202715809894,1032.0
3,0.9960079840319361,0.9881188118811881,0.9920477137176938,1010.0
4,0.9929078014184397,0.9979633401221996,0.9954291518537328,982.0
5,0.9844961240310077,0.9966367713004485,0.9905292479108635,892.0
6,0.9979057591623036,0.9947807933194155,0.996340825927862,958.0
7,0.9912875121006777,0.9961089494163424,0.9936923823386705,1028.0
8,1.0,0.9948665297741273,0.9974266598044261,974.0
9,0.996011964107677,0.9900891972249752,0.9930417495029821,1009.0
accuracy,0.995,0.995,0.995,0.995
macro avg,0.9949268250130061,0.9950055851828953,0.9949577044158147,10000.0
weighted avg,0.9950192427570475,0.995,0.9950015085606992,10000.0
