,precision,recall,f1-score,support
0,0.9969418960244648,0.9979591836734694,0.9974502804691484,980.0
1,0.9947368421052631,0.9991189427312775,0.9969230769230769,1135.0
2,0.9961240310077519,0.9961240310077519,0.9961240310077519,1032.0
3,0.9901671583087512,0.997029702970297,0.9935865811544153,1010.0
4,0.9898785425101214,0.9959266802443992,0.9928934010152284,982.0
5,0.9932735426008968,0.9932735426008968,0.9932735426008968,892.0
6,0.9968652037617555,0.9958246346555324,0.9963446475195823,958.0
7,0.9941463414634146,0.9912451361867705,0.9926936190940088,1028.0
8,0.9979317476732161,0.9907597535934292,0.994332818134982,974.0
9,0.995004995004995,0.9871159563924677,0.991044776119403,1009.0
accuracy,0.9945,0.9945,0.9945,0.9945
macro avg,0.994507030046063,0.9944377564056293,0.9944666774038492,10000.0
weighted avg,0.9945083798952131,0.9945,0.9944984290650724,10000.0
