,precision,recall,f1-score,support
0,0.9938837920489296,0.9948979591836735,0.9943906170321265,980.0
1,0.9955869373345102,0.9938325991189427,0.9947089947089947,1135.0
2,0.9913294797687862,0.997093023255814,0.9942028985507246,1032.0
3,0.9911504424778761,0.998019801980198,0.994573260976813,1010.0
4,0.9928644240570846,0.9918533604887984,0.9923586347427407,982.0
5,0.9966139954853274,0.9899103139013453,0.9932508436445444,892.0
6,0.9957894736842106,0.9874739039665971,0.9916142557651991,958.0
7,0.9836538461538461,0.995136186770428,0.9893617021276596,1028.0
8,0.9968944099378882,0.9887063655030801,0.9927835051546392,974.0
9,0.9890873015873016,0.9881070366699702,0.9885969261279127,1009.0
accuracy,0.9926,0.9926,0.9926,0.9926
macro avg,0.9926854102535762,0.9925030550838848,0.9925841638831356,10000.0
weighted avg,0.9926210520720348,0.9926,0.9926005549719402,10000.0
