,precision,recall,f1-score,support
0,0.9918864097363083,0.9979591836734694,0.9949135300101729,980.0
1,0.9921328671328671,1.0,0.9960508995173322,1135.0
2,0.995164410058027,0.997093023255814,0.9961277831558567,1032.0
3,0.9911154985192497,0.994059405940594,0.9925852694018784,1010.0
4,0.9948927477017364,0.9918533604887984,0.9933707292197859,982.0
5,0.9932508436445444,0.9899103139013453,0.991577765300393,892.0
6,0.9957939011566772,0.988517745302714,0.9921424829753798,958.0
7,0.9921951219512195,0.9892996108949417,0.990745250852411,1028.0
8,0.9928131416837782,0.9928131416837782,0.9928131416837782,974.0
9,0.991044776119403,0.9871159563924677,0.9890764647467726,1009.0
accuracy,0.993,0.993,0.993,0.993
macro avg,0.9930289717703811,0.9928621741533924,0.9929403316863761,10000.0
weighted avg,0.993003156297418,0.993,0.9929962216912851,10000.0
